author,publised_at,updated_at,like_count,text,Sentiment
@headlockafish1087,2024-05-07T14:36:31Z,2024-05-07T14:36:31Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=4302"">1:11:42</a> what’s this song😭",0
@jakenykanen2516,2024-05-07T14:35:59Z,2024-05-07T14:35:59Z,0,Ok honestly I didn&#39;t realize before how dumb Ksi actually is. How can he survive in his normal life and pay his bills with that IQ? 💀😂😭,1
@feu6211,2024-05-07T14:33:02Z,2024-05-07T14:33:02Z,0,"Ksi in the good team yet again  , i just cba",1
@yusufjaved-bl1dq,2024-05-07T14:26:42Z,2024-05-07T14:26:42Z,0,harry is forcing it <br>with the piss and flash kmt,0
@Mrfifalegend,2024-05-07T14:26:05Z,2024-05-07T14:26:05Z,0,Newquay is so nice in the summer,1
@AfroMxgic,2024-05-07T14:25:20Z,2024-05-07T14:25:20Z,1,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3993"">1:06:33</a> Tobi Was like KSI is too rich. Man does not know how to fill up gas LOL🤣",1
@altih7561,2024-05-07T14:24:54Z,2024-05-07T14:24:54Z,0,Harry looks so good in Burgandy❤️‍🔥,1
@maxwellsarpong7487,2024-05-07T14:23:30Z,2024-05-07T14:23:30Z,0,I feel like the sidemen should do more vids with there fans than just with other uk YouTubers,1
@holysidmon,2024-05-07T14:22:18Z,2024-05-07T14:22:18Z,0,"As a healthcare worker / student nurse, people don’t realise the seriousness of acute exacerbation of asthma / COPD and just think it’s people being dramatic. You can die in 5 minutes of being hypoxic, and any oxygen saturation readings under 90% are an indicator that people are critically unwell. Whoever called Ethan an ambulance potentially saved his life 👏🏻",1
@Riaaaaa,2024-05-07T14:21:52Z,2024-05-07T14:21:52Z,1,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=224"">3:44</a> yeh bandha India kabhi nahi aayega",0
@user-cl7db6wt9p,2024-05-07T14:12:08Z,2024-05-07T14:12:08Z,0,Simons jacket name,0
@Bailo1209,2024-05-07T14:04:18Z,2024-05-07T14:04:18Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5954"">1:39:14</a>",0
@spandanmarathe7002,2024-05-07T14:04:04Z,2024-05-07T14:04:04Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=223"">3:43</a> &quot;It&#39;s fun to see a man suffer... (But not Vikk)&quot;",1
@robertocortez7020,2024-05-07T13:58:33Z,2024-05-07T13:58:33Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5734"">1:35:34</a> of course harry &quot;well if it cheers you up we milked a cow&quot;🤣🤣🤣",0
@NeCkSweat179,2024-05-07T13:56:16Z,2024-05-07T13:56:16Z,0,banger,0
@juzwantukkomen5595,2024-05-07T13:54:02Z,2024-05-07T13:54:02Z,0,Sums up life itself. If you&#39;re married you will end up poor.,-1
@blendi_,2024-05-07T13:46:08Z,2024-05-07T13:46:08Z,0,toff is so leng,0
@Darkheart00,2024-05-07T13:45:38Z,2024-05-07T13:45:38Z,0,Top tier video from Ethan!,1
@zippysvids,2024-05-07T13:45:23Z,2024-05-07T13:45:23Z,0,The property value of Swindon went up for a moment,0
@demizhebing,2024-05-07T13:37:27Z,2024-05-07T13:37:27Z,1,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2825"">47:05</a> Non-stop FM ! GTA classic",1
@johndugan5578,2024-05-07T13:37:17Z,2024-05-07T13:37:17Z,0,everyone is a good and bad team best host,1
@paulsingh2117,2024-05-07T13:37:17Z,2024-05-07T13:37:17Z,0,"Parking in a disabled parking spot i see? (<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=1165"">19:25</a>)",-1
@azus4554,2024-05-07T13:34:47Z,2024-05-07T13:34:47Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2205"">36:45</a>",0
@Unknownninja69,2024-05-07T13:33:33Z,2024-05-07T13:33:33Z,0,2/7 sidemen are ill in this video they fell off,-1
@rogerbarfield,2024-05-07T13:29:54Z,2024-05-07T13:29:54Z,0,looks like ethan is a puppet in the back of the van . great  guys,1
@thejoker7902,2024-05-07T13:27:35Z,2024-05-07T13:27:35Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2280"">38:00</a>",0
@bk827_,2024-05-07T13:27:11Z,2024-05-07T15:33:08Z,1,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=79"">1:19</a><br><a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=1161"">19:21</a><br><a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2111"">35:11</a><br><a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5800"">1:36:40</a>",0
@calebpautz6064,2024-05-07T13:17:25Z,2024-05-07T13:17:25Z,0,"At <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5316"">1:28:36</a> when jj said &quot;so thats what she does&quot; had me dying 😂😂😂",0
@JBKShadow09,2024-05-07T13:15:13Z,2024-05-07T13:15:48Z,1,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2206"">36:46</a> Foreshadowing",0
@streetdance__girl9093,2024-05-07T13:13:57Z,2024-05-07T13:13:57Z,0,"i enjoyed it, really good video, comfort video i might say",1
@samlay6049,2024-05-07T13:13:27Z,2024-05-07T13:13:27Z,0,The camper almost killing Ethan is wild!,1
@X360PHILNUMBR1,2024-05-07T13:12:48Z,2024-05-07T13:12:48Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=331"">5:31</a> and Simon is OUT of Soccer Aid, nice one Ethan lol",1
@King2Inches,2024-05-07T13:12:29Z,2024-05-07T13:31:31Z,0,"Im actually genuinely worried for ethan, he’s a great guy, hope he’s recovering. Know he said his fine but still…<br><br>dont want to lose another great one:(",1
@cam.leighton,2024-05-07T13:11:21Z,2024-05-07T13:11:21Z,0,I hope Ethan hosts another cheap vs expensive cos it was actually good. He genuinely made the bad a bad experience which is good to see,1
@rhinogaming9879,2024-05-07T13:08:06Z,2024-05-07T13:08:06Z,1,Why is JJ my role model: 😂<br>1. Drives recklessly on wet roads with others in the car<br>2. Pours petrol onto floor<br>3. Gambling on scratchies,-1
@nosiphonsibande306,2024-05-07T13:06:38Z,2024-05-07T13:06:38Z,0,Very entertaining video❤❤❤ Ethan should definitely host more videos 🎉🎉🎉🎉🎉,1
@robertnapier624,2024-05-07T13:04:37Z,2024-05-07T13:04:37Z,0,Hope Ethan is doing alright after his asthma attack.,0
@josecarlosacosta8159,2024-05-07T13:04:09Z,2024-05-07T13:04:09Z,1,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=1147"">19:07</a> Ethan breaking the 4th wall lmaaaaaao 🤣🤣🤣",0
@rhinogaming9879,2024-05-07T13:04:07Z,2024-05-07T13:04:07Z,0,Nahhhhhh JJ pouring petrol onto the floor is crazy!! Swear that&#39;s illegal innit,-1
@ascelive,2024-05-07T13:02:30Z,2024-05-07T13:02:30Z,1,"What can vik do to be on the good team? Does anyone have answers here, I know his winning in life but damm this videos are killing him slowly",1
@Jordilane012,2024-05-07T13:00:00Z,2024-05-07T13:00:00Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=4283"">1:11:23</a>  wtf was that make  me dead man 😂😂",-1
@lukasjohansen8086,2024-05-07T12:59:26Z,2024-05-07T12:59:34Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5192"">1:26:32</a><br><br><b><i>Woof!</i></b>",0
@Jordilane012,2024-05-07T12:57:59Z,2024-05-07T12:57:59Z,1,"Ayo, not gonna lie. This is the best Cheap vs Expensive 🤣🤣🤣",1
@fatneek6954,2024-05-07T12:52:55Z,2024-05-07T12:52:55Z,0,I just won£500 on a scratch card,0
@S1lver_Cl3ar,2024-05-07T12:52:21Z,2024-05-07T12:53:46Z,0,"Harry -&quot;That is Disgraceful&quot;<br>JJ-&quot;F**K, I can&#39;t do it on comand!!!&quot; <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=737"">12:17</a>",0
@musicbysazid,2024-05-07T12:48:20Z,2024-05-07T12:48:20Z,1,Ethan suffered the most out of them all,1
@Swedd,2024-05-07T12:46:52Z,2024-05-07T12:46:52Z,0,wanked off the galaxy looool,0
@Bloody_Fang,2024-05-07T12:43:55Z,2024-05-07T12:43:55Z,0,"nice vid bruv, get well soon",1
@ZiouyHiocv,2024-05-07T12:43:12Z,2024-05-07T12:43:12Z,0,"Bravo, Ethan. My man was on the bad squad and cooked for them till he nearly died. He was good at looking after his coworkers. In this video, JJ was completely in a different mood. A true hit!",1
@AfroGamesHD,2024-05-07T12:42:33Z,2024-05-07T12:42:33Z,0,"Smashed it, Ethan",0
@jamesswift4754,2024-05-07T12:40:39Z,2024-05-07T12:40:39Z,1,This video was actually absolutely great 😂😂,1
@tw1st4u85,2024-05-07T12:36:14Z,2024-05-07T12:36:14Z,0,I think vik is allergic to being poor,-1
@Captain-cz3bk,2024-05-07T12:33:09Z,2024-05-07T12:33:09Z,0,sidemen x beta squad needs to be seen...,0
@bartoszszyjka417,2024-05-07T12:32:11Z,2024-05-07T12:32:11Z,1,Nobody hold the umbrella for the woman no?😭 guys aren’t gents anymore 😮‍💨😂😂,0
@sarojkoirala2012,2024-05-07T12:30:07Z,2024-05-07T12:30:07Z,0,Behzinga is my new favorite Sidemen. he is HIM. What a guy man what a guy,1
@stealthinator773,2024-05-07T12:29:41Z,2024-05-07T12:29:41Z,0,10/10 BANGER,0
@omjs8,2024-05-07T12:23:27Z,2024-05-07T12:23:27Z,0,Ksi : its not enough rich for me to live here<br><br>Tobi : 👀👀<br><br>Ksi : guys it’s a joke a making content here <br><br>😂😂😂😂,1
@jacques744,2024-05-07T12:20:19Z,2024-05-07T12:20:19Z,0,M,0
@andreastverderoy1812,2024-05-07T12:17:35Z,2024-05-07T12:17:35Z,0,The best sidemen video this year. Well done.,1
@YoutubeBites,2024-05-07T12:17:20Z,2024-05-07T12:17:20Z,0,sidemen have something against vik not sure what,-1
@KairuHD,2024-05-07T12:15:45Z,2024-05-07T12:15:45Z,0,One of the greats,0
@samwhyte3438,2024-05-07T12:14:33Z,2024-05-07T12:14:33Z,0,Bro when u know JJ rich when he doesn’t know how to use gas pump,1
@charlzi1889,2024-05-07T12:12:53Z,2024-05-07T12:12:53Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=4608"">1:16:48</a> not the synchronised laughing 🤣",0
@drudd0952,2024-05-07T12:10:09Z,2024-05-07T12:10:09Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=90"">1:30</a> these boys have a lot of dynamic in shoe choice",0
@interceptor1434,2024-05-07T12:09:30Z,2024-05-07T12:09:30Z,0,Did josh bleach his hair slightly or is he just old?,-1
@swiftyyy870,2024-05-07T12:08:38Z,2024-05-07T12:08:38Z,0,"Bring back <a href=""http://www.youtube.com/results?search_query=%23stopvikabuse"">#stopvikabuse</a>",0
@joshlatus8490,2024-05-07T12:05:42Z,2024-05-07T12:05:42Z,0,the gold campervan is a 1990&#39;s Bedford Bambi,0
@jasonaby2975,2024-05-07T12:02:40Z,2024-05-07T12:02:40Z,0,"Ethan nailed this, what a vid. Great job brother",1
@Reay89,2024-05-07T12:02:31Z,2024-05-07T12:02:31Z,0,so wholesome🫶🏻🫶🏻,0
@chrispartlow2337,2024-05-07T12:01:52Z,2024-05-07T12:01:52Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5442"">1:30:42</a><br>Ksi: i just wanked off the galaxy😂",0
@robertnapier624,2024-05-07T12:00:04Z,2024-05-07T12:00:04Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2340"">39:00</a> the stig in a sidemen video. Who’d have thought it?",0
@user-hm1xx8ci8f,2024-05-07T11:58:53Z,2024-05-07T11:58:53Z,0,The fact they were at Wookey hole literally like 5 mins from me and I didn’t know 😭,0
@PriyankaBalagopalan,2024-05-07T11:55:13Z,2024-05-07T11:55:13Z,0,"Big up Ethan! Such a wholesome video, your efforts are noticed",0
@duartelourenco8906,2024-05-07T11:54:48Z,2024-05-07T11:54:48Z,0,"Banger!!! But think they could try using a mini game to decide the teams, something that they need to fight for to get on the good team.<br>But at the same time its gold having vik always unlucky with the wheel hahahah",1
@bloom2498,2024-05-07T11:53:56Z,2024-05-07T13:37:31Z,4,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=1011"">16:51</a> not Harry and JJ literally calling what they&#39;re gonna do  in this video.. that&#39;s sooo sick.🗿",0
@dn7912,2024-05-07T11:53:20Z,2024-05-07T11:53:20Z,0,🖤,0
@turn1ng_p1nt95,2024-05-07T11:50:52Z,2024-05-07T11:50:52Z,0,"longer videos like this please, this is amazing!!",1
@akmotovlogs5463,2024-05-07T11:48:58Z,2024-05-07T11:48:58Z,0,Again the indian guy didnt get the good team lol,1
@robertnapier624,2024-05-07T11:46:47Z,2024-05-07T11:46:47Z,0,Tobi’s a really good shot.,1
@ledsy,2024-05-07T11:43:28Z,2024-05-07T11:43:28Z,0,Do a sdmn video where everyone on thr expensive team,-1
@nixxyedits,2024-05-07T11:40:58Z,2024-05-07T11:40:58Z,0,Tobi&#39;s looking like a single parent who&#39;s just given up with the way he&#39;s scolding KSI and Harry lmfaoo,-1
@ValeriVassilev,2024-05-07T11:39:37Z,2024-05-07T11:39:37Z,0,&quot;You want your sponge bath Vikalas?&quot; Killed me 😂,-1
@nicolasjager3336,2024-05-07T11:37:48Z,2024-05-07T11:37:48Z,0,It’s not fair that Toni always gets the good side,1
@DailyPlanet000,2024-05-07T11:34:28Z,2024-05-07T11:34:28Z,0,White girly wanted JJ’s d*ck,0
@WickedDreadroot,2024-05-07T11:31:44Z,2024-05-07T11:31:44Z,0,Simon looked like he was going on a plane ride with his dad,0
@dredal169,2024-05-07T11:27:42Z,2024-05-07T11:27:42Z,0,"vik complains all video and then sleeps through a flight lesson, doesn’t deserve a good team.",1
@user-qz4vj2ef5f,2024-05-07T11:25:55Z,2024-05-07T11:25:55Z,0,i would love an egg and bacon sadwich from ian i feel like it would be lovely,1
@Aixalld,2024-05-07T11:23:04Z,2024-05-07T11:23:04Z,0,this was a good video 10 out of 10,1
@ENGBeasting,2024-05-07T11:22:54Z,2024-05-07T11:22:54Z,0,Ethan has to host another Sidemen road trip,0
@paulinaskudlarska4551,2024-05-07T11:22:42Z,2024-05-07T11:22:42Z,0,Where is among us,0
@cr7_sup3rher07,2024-05-07T11:22:01Z,2024-05-07T11:22:01Z,0,@Behzinga get well soon brother.,0
@nitrogames1829,2024-05-07T11:19:44Z,2024-05-07T11:19:44Z,0,Was the pilot just an older version of Simon,1
@vinayl5842,2024-05-07T11:16:51Z,2024-05-07T11:16:51Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3565"">59:25</a> wait which is the clutch?<br>😂😂😂😂😂😂😂😂😂😂😂😂😂",0
@jf7673,2024-05-07T11:13:40Z,2024-05-07T11:13:40Z,0,"Ethen this has easily been the best sidemen video in a long long time! Quality content, minus the Asthma attack dude!",1
@robertnapier624,2024-05-07T11:11:38Z,2024-05-07T11:11:38Z,0,When will Vikk and Josh ever get the expensive team?,-1
@darkjosh1,2024-05-07T11:09:52Z,2024-05-07T11:09:52Z,0,Take care Ethan!,0
@rocko0,2024-05-07T11:09:42Z,2024-05-07T11:09:42Z,1,the sidemen make 500$ look like it&#39;s worth a beer,1
@elenal8259,2024-05-07T11:03:30Z,2024-05-07T11:03:30Z,1,"Josh&#39;s victory dance hahaha i love it, he was so proud 😂❤ <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3461"">57:41</a>",1
@byrongreyvenstein4327,2024-05-07T11:03:29Z,2024-05-07T11:03:29Z,0,"this video was so good , Bezinga this was goated",1
@saracenii,2024-05-07T10:53:19Z,2024-05-07T10:53:19Z,0,Bruh Behz nearly died,1
@Rj77777,2024-05-07T10:52:51Z,2024-05-07T10:52:51Z,1,Ethan did so good with this video!!,1
@Braddy_exe,2024-05-07T10:48:23Z,2024-05-07T10:48:23Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5946"">1:39:06</a> Could be a gambling advert 😂",0
@CitraShade,2024-05-07T10:46:07Z,2024-05-07T10:46:07Z,0,Great job on this one 👏,1
@drakegage2684,2024-05-07T10:41:06Z,2024-05-07T10:43:10Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5401"">1:30:01</a> the reactions of Harry and Tobi to JJ&#39;s weirdness got me weak 😂😂😂 <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5562"">1:32:42</a>",-1
@HockeyJokerit,2024-05-07T10:40:18Z,2024-05-07T10:40:18Z,0,"I wanna see Vikk in the good team even once, maybe some other day lmao",1
@nitrogames1829,2024-05-07T10:39:51Z,2024-05-07T10:39:51Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3620"">1:00:20</a> Harry&#39;s face in the back",0
@hala_ak23,2024-05-07T10:38:18Z,2024-05-07T10:38:18Z,0,I always smile when I see KSI in the video ❤️❤️,1
@Blessupph777,2024-05-07T10:38:17Z,2024-05-07T10:38:17Z,0,31,0
@Deanoooooooooo,2024-05-07T10:33:20Z,2024-05-07T10:33:20Z,0,Probably one of the best watches Well done Ethan,1
@khyl_karting,2024-05-07T10:32:03Z,2024-05-07T10:32:03Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=117"">1:57</a> The cameraman wasn’t joking for a sec",-1
@anoichi4840,2024-05-07T10:31:29Z,2024-05-07T10:31:29Z,0,"I can&#39;t lie, being in the bad team kinda looks fun for some reason",-1
